nid,title,anyo_produccion,body_value
157,"El ausente",1987,"Si bien el film no alude a nadie con nombres propios conocidos, se trata de los hechos protagonizados por el dirigente obrero, desaparecido en 1976, René Salamanca en el
sindicalismo cordobés de los años setenta. El relato se desarrolla desde tres instancias narrativas: en un contexto social se desarrolla la vida de Raúl Salas, nombre figurado del personaje; un joven intelectual, Muñíz, el autor de los
discursos de Salas, y su voz escrita, articula     segmentos del tema unas veces frente a la cámara de        una directora de ficción, otras en soledad; el mismo Salas que, envuelto en una atmósfera de fábrica abandonada, intuye el futuro en una dimensión del pasado e introduce al espectador en la justificación de los planos finales, los más solos y tristes de que se tenga recuerdo en la        pantalla argentina. La acción, con emergencias de        discusión entre el dirigente obrero que ejecuta y Muñíz, el intelectual que reflexiona, tiene tonalidad épica en los segmentos iniciales y se vuelve interior, espesa, cuando se empieza a intuir la muerte."
166,"Las aventuras de Pikín",1977,"Cuenta la historia de Pikín, un pequeño y simpático pez que se gana la amistad de un niño."
170,"Ayer fue primavera",1955,"Después de diez años de feliz matrimonio, un hombre pierde a su esposa y descubre que ella tenia un amante. Comienza una investigación para averiguar de quién se trataba.
"
178,"Bairoletto, la aventura de un rebelde",1985,"Bautista Bairoletto fue un quijotesco bandido de comienzos de siglo reconocido como el "Robin Hood de las Pampas". Se mezclaba con anarquistas, forajidos y prostitutas y la gente llegó a apreciar cada uno de sus robos."
189,"Los bañeros más locos del mundo",1986,"Los integrantes de Brigada Explosiva pasan sus vacaciones en Mar del Plata. Trabajando como bañeros para solventarlas, descubren y enfrentan a una banda que intenta desvalijar al Casino Central."
202,"La barra de la esquina",1950,"Un cantor exitoso vuelve a su tierra natal y se reencuentra con sus viejos amigos."
234,"Las boludas",1993,"Tres mujeres ridiculizadas por sus esposos planean vengarse con la intención de demostrarles que no son como ellos dicen. 
Las boludas fue exhibida por televisión con otro nombre "Solo se trata de vivir"."
238,"Breve cielo",1969,"Paquito es un joven de clase media, tímido, que se ocupa del negocio de su tío que se ha ido de vacaciones. Encuentra a Delia, una chica de su misma edad que se ha escapado de su casa y que piensa ganarse la vida como prostituta. El encuentro fugaz con Delia en cierta forma modifica la organizada y conservadora vida de clase media de Paquito. Es la historia de dos seres indefensos en una ciudad omnipresente."
240,"Brigada explosiva",1986,"La Brigada Z, despues de un intensivo entrenamiento, se enfrenta con el peligroso delincuente Cicatriz."
255,"Buen viaje",1991,"Al sufrir un desperfecto en su auto, un vendedor de pinturas se detiene frente a un cementerio, donde recibe ayuda de una mujer a la que desconoce. A partir de ese momento la pareja vive extraños acontecimientos."
267,"Caballos salvajes",1995,"El crimen y el destino unen a José (un viejo anarquista), Pedro (un joven de 23 años) y Ana (una adolescente), en un viaje de cuatro dias a través de la Patagonia Argentina."
287,Camila,1984,"La verídica y trágica historia de amor entre Camila O' Gorman y el sacerdote Ladislao Gutiérrez, a mediados del siglo XIX, y los escándalos que provocó semejante relación en la Iglesia y en la sociedad de la época."
292,"El camino de los sueños",1993,"Ignacio Silva, un argentino exiliado, regresa a su pueblo para vender la casa de sus abuelos. Allí se encuentra con sus recuerdos, con un amigo y con tres mujeres con las que entabla relaciones poco claras. 
"
313,"El candidato",1959,"Un político renuncia a su banca por razones éticas y vuelve a competir en la contienda política impulsado por su hijo. Los manejos turbios que lleva adelante el joven ponen en tela de juicio la candidatura del padre y contribuyen al triunfo de su oponente. "
349,"La casa de las siete tumbas",1982,"Dos amigas de la infancia vuelven a encontrarse después de mucho tiempo en una extraña y terrorífica mansión. Una de ellas canaliza su violencia en macabros hechos y sucesos que terminan por romper la amistad entre ambas."
350,"La casa de los cuervos",1941,"Una historia de amor en la que un capitán revolucionario se enamora de la viuda de un hombre a quien él ha matado."
359,"Casas de fuego",1995,"La película está inspirada en el caso real del médico argentino que estudió el Mal de Chagas en Argentina, y su lucha en favor de la erradicación de esta enfermedad, estrechamente ligada a la pobreza."
360,"Casi no nos dimos cuenta",1982,"La historia de una pareja desde que sus miembros se conocen hasta el momento de la separación, contada desde los relatos de la mujer frente a su psicoanalista."
362,"El caso María Soledad",1993,"La película es una crónica ficcionada de un resonante caso policial ocurrido en la ciudad de Catamarca: el crimen de la joven María Soledad Morales, que tuvo gran repercusión pública por las vinculaciones con el poder de los culpables.
"
371,"El censor",1995,"Acercamiento a la figura de un censor cinematográfico de la época de la última dictadura militar, levemente inspirado en el tristemente célebre Miguel Paulino Tato."
373,"Un centavo de mujer",1958,"Un drama que cuenta la historia de una jovencita adolescente que tiene deseos de tener una relación amorosa con un actor francés, borracho y mucho mayor que ella."
388,"Los chicos de la guerra",1984,"Tres chicos de diferentes clases sociales van a la Guerra de Malvinas. La película cuenta paralelamente sus vidas y las consecuencias que les trae la guerra a cada uno."
393,Chiquilines,1991,"Basada en sendos cuentos de Antonio Di Benedetto y Alvaro Yunque, está dividida en dos episodios que tienen más de una relación de orden temático. El primero cuenta los traumas de un chico a raíz de la muerte de su madre. El otro tiene como personaje central a otro niño, que vive con sus abuelos mendigos."
400,"Cien veces no debo",1990,"Los problemas del personaje que encarna Andrea del Boca comienzan cuando sus padres se enteran de que ella está embarazada."
416,"La ciudad oculta",1989,"Durante el Mundial de Fútbol de 1978, la dictadura militar ordenó levantar la Villa Manuel Dorrego, conocida como "Ciudad oculta", habitada por centenares de familias carenciadas."
430,"Color escondido",1988,"Una joven de 20 años, proveniente de una familia de clase media, llega angustiada y deprimida a su departamento. Allí vive, al mismo tiempo, sueños y realidades sin explicación. Film experimental de un realizador de renombre donde sólo se dicen siete palabras."
438,"¡Cómo te extraño...!",1966,"Es la historia de una azafata trata de convencer a su padre para que regrese a Europa con ella. "
448,"Concierto para una lágrima",1955,"Una comedia donde una chica llega a la cumbre del éxito como concertista de piano."
464,"Contar hasta diez",1985,"Ramón llega a Buenos Aires para buscar a su hermano desaparecido, abandonando a su padre y esperando noticias de ambos. Su propia identidad es la que está en juego."
472,Convivencia,1994,"Dos amigos en sus 50 comparten los fines de semana en una vieja casa del Delta. Durante una tormenta que les impide salir de la casa, a sus vidas llega Tina, una joven a la que dan refugio. A partir de ese momento, la amistad entre ambos no será la misma. 
"
474,Corazón,1947,"Un maestro de escuela les relata todos los meses un cuento distinto y aleccionador a sus alumnos."
482,Cortázar,1994,"El documental indaga los sucesos más relevantes en la vida del autor. Su infancia acompañada por los libros, su formación como maestro, su vida en París y desde allí, la publicación masiva de sus novelas y cuentos. La Revolución Cubana y el Mayo Francés explican la unión entre la literatura y la política que existe en sus obras, como el poema al Che Guevara o las palabras escritas en torno a la prohibición de sus libros en la Argentina durante los setenta."
484,"Las cosas del querer, 2da parte",1995,"A finales de los años '40, Pepita, Mario y Juan separan sus vidas. Mario se exilia de España en pleno triunfo artístico, obligado por su condición de homosexual. Pepita y Juan reanudan su apasionado romance, pero Nena Colman, una canzonetista de segunda, cegada por sus celos, asesina a Juan. Mario, en Argentina, protegido por Silvia Hidalgo, una bella y acaudalada viuda, continúa su triunfal carrera. Pepita se reencuentra con Mario en Buenos Aires y juntos recuerdan los años pasados y los dos añoran a su gran amor perdido, pero la vida sigue y ella un día conoce a Tulio, un galán apuesto y aventurero que, deslumbrado por su belleza, decide reorganizar su vida y vivir el futuro junto a esa mujer. Pero estando vinculada artísticamente a Mario, no puede abandonarlo."
489,"Los crápulas",1981,"Dos ex presidiarios son contratados por el Diablo para administrar el cementerio de un pequeño pueblo."
526,"Cuarteles de invierno",1984,"Durante la dictadura militar que rigió en la Argentina entre 1976 y 1983, un boxeador en decadencia y un cantor se encuentran en un pueblo del interior y establecen una fuerte amistad. Los militares preparan un festival y necesitan de la ayuda del púgil y del cantante."
540,"No quiero volver a casa",2000,"<i>No quiero volver a casa</i> es la historia de dos familias atravesadas por un asesinato. La familia de Rubén, un joven de 25 años sin ningún objetivo, y la de Ricardo, un empresario decadente con problemas irreconciliables con su socio y cuñado. Susana, una prostituta, será el vínculo entre estas dos familias. Un estudio sobre las relaciones de un grupo de personajes reconocibles que vagan por una ciudad que los aliena y los endurece."
557,"El cura Lorenzo",1954,"Esta película cuenta la vida del cura Lorenzo Mazza, inspirador del club San Lorenzo de Almagro"
562,"Darse cuenta",1984,"En su película más exitosa, el director Alejandro Doria cuenta la relación profesional y afectiva entre un médico fracasado y un muchacho internado al que la medicina da por muerto. De manera paralela, la película narra los acontecimientos positivos y negativos que transcurren en un hospital público. "
563,"Debajo del mundo",1987,"La historia se desarrolla en 1941, en la Polonia invadida por los nazis. Allí, una familia busca refugio en un pozo para escapar del ejército alemán."
567,"De eso no se habla",1993,"La fábula transcurre en San José de los Altares durante la década del 30. Leonor, una viuda, ha tenido una hija enana, realidad que durante años intentó ignorar haciéndole llevar a la menor una vida "normal". Pero la verdad es inexorable y la aparición de un simpático extranjero nacido en Italia, que se enamora de la chica, provoca la libertad de esta."
582,"Del brazo con la muerte",1961,"Un delincuente se aprovecha de un vago que se cruza en su camino y lo convence de realizar robos para él.
"
595,Delito,1962,"Un oficial de policía se introduce en una banda de contrabandistas para intentar desenmascarar a sus integrantes.
"
597,"Delito de corrupción",1991,"Al investigar la muerte de una joven, un comisario descubre que su hijo está implicado en el accionar de una banda de traficantes de drogas."
609,"Encuentros muy cercanos con señoras de cualquier tipo",1978,"Alberto y Jorge, cómicos de un modesto tablado, aceptan representar el papel de ejecutivos de una empresa imaginaria, por cuenta de un promotor de negocios futbolísticos arruinado, que quiere aparentar prosperidad ante varios compradores extranjeros de jugadores, en vísperas del mundial de fútbol. Como el promotor exige que se presenten como casados, Alberto le propone el papel de esposa a Viviana y Jorge a Marcela, ambas compañeras de tablado a las que ellos miran fogosamente sin hallar la menor correspondencia."
614,"En el infierno del Chaco",1932,"Documental sobre la Guerra del Chaco entre Bolivia y Paraguay por el control del Chaco Boreal, narrado desde el punto de vista de los paraguayos."
630,"Desafío al coraje",1975,"Un fugitivo llega a la casa de campo de Mauro Robles, que tras su aspecto de señor, oculta a un delincuente con sus secuaces. Laura, su amante, sentirá atracción por el nuevo integrante, desencadenándose los dramáticos sucesos."
644,"Equinoccio, el jardín de las rosas",1991,"Cinco fábulas narradas por un ángel adolescente en cinco pueblos diferentes. La película está protagonizada por actores tunecinos y hablada en árabe, aunque con subtítulos en español en el original. Es el primer título de la trilogía producida por Túnez y Argentina que dirigió Pablo César, realizador especializado en un cine fantástico, difícil, muy imaginativo y basado en imágenes."
660,"Después de ayer",1987,"Raúl es un obrero de la construcción que lucha por las reinvidicaciones sociales de su gremio. Además, carga con otros problemas, entre ellos, el embarazo de su hija de 17 años."
662,"El escudo del cóndor",1987,"Un pequeño peón de circo, junto a la domadora, es enviado a un planeta desconocido. Allí, protegido con su poderoso escudo, lucha contra robots. Uno de los escasos ejemplos de animación del cine argentino. "
664,"Después de la tormenta",1991,"Un matrimonio con dos hijos, que vive en los suburbios de Buenos Aires, sufre penurias económicas. El padre vuelve a su lugar natal, el campo, pero allí encuentra a su padre y al hermano sin trabajo, por lo que decide regresar a la ciudad junto a su familia."
674,"Esperando la carroza",1985,"Una típica comedia costumbrista en la que abundan las confusiones y situaciones entre parientes que discuten en medio del velorio de Mamá Cora, la abuela que supuestamente se habría suicidado tirándose a las vías de un tren."
691,"La deuda interna",1988,"En Chorcán, Jujuy, un joven indígena conoce a un maestro rural recién llegado de la Capital Federal. Entre ambos nace una amistad que se interrumpe cuando al joven le toca el servicio militar y es convocado a participar en la Guerra de Malvinas."
703,"Estrellas de Buenos Aires",1956,"Los problemas comienzan cuando el hijo de un gran empresario se enamora de una corista de teatro."
705,Diapasón,1986,"Dos seres marginales, un hombre y una mujer, Ignacio y Boncha, viven en una mansión, rodeados de sirvientes que los observan. Los sometimientos, humillaciones y ultrajes físicos son cuestiones cotidianas. "
711,"Días de ilusión",1980,"Una mujer acaba de enviudar y empieza a vivir en un mundo de fantasía, acompañada por su hija. La niña desaparece y esto induce a que ese universo mágico se haga realidad. Los roles protagónicos de este film de Ayala están a cargo de Luisisna Brando y una adolescente Andrea del Boca, quien luego permanecería sin filmar durante una década, hasta su reaparición en Cien veces no debo."
716,"Los días de junio",1985,"Un actor exiliado por la dictadura, vuelve al país y se reencuentra con sus amigos."
717,"Días de odio",1954,"Cuando Emma se entera que su padre se ha suicidado en Brasil en medio de la ruina, planea matar al empresario responsable de su desgracia, la venganza más célebre de la literatura argentina den un policial inquietante basado en la obra de Jorge Luis Borges."
720,"Expertos en pinchazos",1979,"Por error, los empleados de una farmacia entregan veneno en lugar de un medicamento."
721,"Los días que me diste",1975,"Una mujer madura, harta de su vida familiar, decide vivir una aventura con el carnicero del mercado"
741,"Los dioses ajenos",1958,"Choque de culturas entre una maestra rural de Tilcara y un arqueólogo de Buenos Aires. En medio de escenarios naturales de la Quebrada de Humahuaca, la mayoría del elenco estuvo formado por actores no profesionales del pueblo jujeño."
748,"Facundo, la sombra del tigre",1994,"El film se centra en el viaje del general Juan Facundo Quiroga hacia el norte con el propósito de solucionar el conflicto entre las provincias de Salta y Tucumán. Durante el viaje, rememora su pasado y algunos acontecimientos políticos y militares. Y antes de llegar a destino, encuentra la muerte a manos de un oscuro capitán, servidor de los hermanos Reinafé."
763,"Dock Sud",1953,"Narra la trágica historia de las familias que perdieron sus familiares en el accidente del año 1930, donde un tranvía cayó al Riachuelo."
779,"¿Dónde estás amor de mi vida que no te puedo encontrar?",1992,"Una mujer y un hombre se conocen a través de un programa de radio que se dedica a unir en parejas a sus solitarios oyentes. "
798,"Fin de fiesta",1959,"Durante la década infame, el nieto de un caudillo político conservador de la Provincia de Buenos Aires se meterá en los asuntos de su abuelo y descubrirá un mundo de corrupción."
809,Flop,1990,"Una revisión de ficción sobre la vida de Florencio Parravicini."
815,"Flores robadas en los jardines de Quilmes",1985,"Recorriendo el centro de la ciudad, un hombre y una mujer recuerdan los tiempos de su tierna juventud y sus noches de amor y de sexo. Filmada en 16mm. y posteriormente ampliada a 35mm. para su exhibición comercial."
823,"Fotos del alma",1995,"Pablo es un joven empleado de una agencia de publicidad al que se le informa que es portador del virus HIV. Toda su vida parece desmorarse, pero la solidaridad de algunos y el restablecimiento de su relación de pareja hacen que pueda convivir mejor con su enfermedad."
827,"El dueño del sol",1987,"Un estanciero autoritario está a punto de morir y sus hijos pelean entre sí por la herencia. Todos viven en un lúgubre caserón. Opera prima de Rodolfo Mórtola, que fuera habitual colaborador en los films dirigidos por Leopoldo Torre Nilsson. "
829,"La frontera olvidada",1969,"Ficción ambientada en el siglo XIX, en las fronteras de la conquista del desierto argentino. Un joven oficial viene a transformar el monótono acostumbramiento en que han caído las tropas de esa minúscula pero patriótica frontera.
No puede hacerlo porque los viejos y sabios soldados del lugar conocen mejor que él el lugar y porque un buen amigo no es tan bueno como parece. El oficial termina inclin ndose por una chica joven y se aferra a las cosas de la tierra."
839,"Gardel, el alma que canta",1985,"Documental acerca del cantor y compositor de tangos Carlos Gardel. Incluye fragmentos de sus películas y testimonios de amigos e biógrafos."
846,"Fuego gris",1993,"Una joven, alienada por su trabajo y enfrentada con su entorno, busca su identidad a través de diversas figuras alegóricas. Es una película extraña, arriesgada, en la que no hay diálogos sino canciones que expresan los estados por los que atraviesa la protagonista. La banda sonora del film fue compuesta e interpretada por el músico de rock Luis Alberto Spinetta y fue editada como disco bajo el mismo título que la película."
847,"Los gatos (Prostitución de alto nivel)",1985,"Un grupo de muchachos y muchachas vende su cuerpo a gente del más elevado status social."
852,"Los gauchos judíos",1974,"La historia de los colonos judíos que se instalaron en Entre Ríos."
858,"El general y la fiebre",1992,"Uno de los pocos films argentinos con un prócer de la independencia como protagonista. El film muestra al General San Martín durante su estancia en la pequeña localidad de Saldán, restableciéndose de una enfermedad y recordando su pasado.
"
861,"Funes, un gran amor",1993,"La historia transcurre en un salón de baile, juego y prostitución, al cual llega Funes, una enigmática pianista de una orquesta de tango que despierta pasiones en los hombres del lugar."
875,Gitano,1970,"El hijo de un gitano que trabaja en un parque de diversiones es acusado de un crimen que no cometió. Huye y se oculta, junto a su compañero."
884,"Golpes a mi puerta",1994,"Basada en la obra de uno de los más conocidos hombres de teatro de la Argentina, Juan Carlos Gené, centra su acción en un país latinoamericano oprimido por una dictadura. Allí, dos monjas ocultan a un disidente prófugo."
895,"Historias cotidianas",2000,"Documental que cuenta la historia de vida de seis hijos de personas desaparecidas durante la última dictadura militar en Argentina, de sus vivencias, de sus recuerdos, de sus sensaciones y de su presente."
911,Cicatrices,1999,"Tres historias se entrecruzan: un jugador compulsivo seducido por su sirvienta analfabeta, un joven periodista que vive con una madre un tanto peculiar y un matrimonio que se humilla mutuamente."
912,"Hay unos tipos abajo",1985,"En junio de 1978, un periodista ve a unos hombres de aspecto sospechoso en la puerta de su edificio. A causa del clima político y de su profesión, la paranoia comenzará de a poco a consumirlo y a afectar a sus conocidos."
914,"Gracias por los servicios",1988,"Tres sujetos deciden asaltar el lujoso departamento de un poderoso industrial para llevarse 500.000 dólares. Cuando van a la búsqueda del dinero, descubren que cayeron en una trampa."
920,"La gran aventura",1974,"En medio de persecuciones, peleas y tiroteos, tres agentes se proponen desbaratar una banda de mafiosos y salvar a un científico famoso que había sido secuestrado. 
"
944,"El hijo del crack",1953,"Héctor es un futbolista que ya no pasa por su mejor momento, y además padece una enfermedad grave. Vive solo con Marito, su hijo, que a pesar de todo lo idolatra. Antes de morir, tratará de volver a ser un ídolo para la hinchada."
946,"Gran valor",1980,"Un cadete de escribanía, encargado de llevar los depósitos en efectivo al banco, es secuestrado por una banda cuyo líder tiene un increíble parecido físico con el cadete. El secuestrador toma la identidad de su sosias, logra fugarse con el dinero, convencer a la policía de su inocencia y casarse con la novia del secuestrado. Cuando es trasladado a la cárcel, el cadete condenado por el robo del dinero, se escapa de la custodia y regresa a la ciudad para perseguir y vengarse de impostor. Al encontrarlo, lo golpea y le dispara varias veces con un arma de fuego. La mamá del cadete lo despierta y se descubre que todo fue un sueño."
967,"Un guapo del 900",1960,"Ecuménico López, como su madre, Doña Natividad, está profundamente ligado a la vida del comité. El coraje, la nobleza y la fidelidad son los valores que Ecuménico pone al servicio de don Alejo Garay, el político que lo contrata como guardaespaldas y fuerza de choque. Al descubrir las relaciones amorosas de la esposa de su patrón con el político de la oposición, el Doctor Clemente Ordóñez, el matón decide actuar por su cuenta. Desengañado por el comportamiento de una mujer que idealiza, Ecuménico decide tomar cartas en el asunto y así lavarle la honra a su empleador dándole un susto al hombre que lo traiciona, pero esto termina involuntariamente en una tragedia y Ordóñez cae muerto a manos de Ecuménico.
"
975,"La historia oficial",1985,"En el ocaso de la dictadura militar, una profesora comienza a preguntarse quiénes son los verdaderos padres de su hija, adoptada años antes por su marido de una manera sospechosa."
977,"Historias de amor, de locura y de muerte",1994,"Película basada en los últimos tiempos de la vida del escritor Horacio Quiroga."
988,"La guita",1970,"Cuatro historias con el dinero como punto en común: un joven quiere capturar un billete que se cae en una alcantarilla, un boy-scout sueña con cantar el premio mayor de la lotería en el sorteo de Navidad, un frustrado auto asalto en una oficina y un playboy finaliza casándose con la hija de un carnicero."
989,"Ico, el caballito valiente",1987,"El caballito Ico desea entrar en la caballeriza del rey y conocer el lujoso palacio. 
Cuando lo consigue, comprende que en ese mundo también existe la bondad y la maldad.
Cuarto largometraje de dibujos animados de Manuel García Ferré. 
El film fue producido en 1983 y obtuvo premios en importantes festivales. Sin embargo, los distribuidores locales no la estrenaron hasta 1987."
994,"El hombre de la deuda externa",1987,"Un hombre de clase media cobra una millonaria fortuna que decide destinar para el pago de la deuda externa. Inmediatamente, es declarado héroe nacional. Opera prima de Pablo Olivo, habitual escenógrafo del cine argentino."
998,"El hombre del año",1970,"Un hombre que extrañamente tiene dos corazones en su pecho debe cuidarse de un grupo de mafiosos que intentará apoderarse de uno de ellos para transplantarselo al Capo Maffia que tiene problemas cardíacos.
"
1015,"El infortunado Fortunato",1952,"Un hombre humilde se desilusiona cuando la chica de la cual está perdidamente enamorado se relaciona con un millonario."
1039,"Los inundados",1962,"Narra la historia de una familia de pocos recursos, habitantes del sur de la provincia de Santa Fe, que se ve forzada a mudarse a un vagón abandonado del ferrocarril hasta que bajen las aguas del río Salado."
1048,"Los irrompibles",1975,"Western ambientado en 1870, donde una pareja de torpes detectives son los héroes que correrán en auxilio de una huérfana heredera, enfrentando a los bandidos que asolan la región. Acción a raudales, comicidad y romance con final feliz. "
1052,"La hora de los hornos",1968,"Este film está dividido en tres partes: "Neocolonialismo y violencia"; "Acto para la liberación", dividido a su vez en dos grandes momentos "Crónica del peronismo (1945-1955)" y "Crónica de la resistencia (1955-1966)"; "Violencia y liberación""
1054,"La isla",1979,"Sebastián, un náufrago íntimo, es internado en una clínica psiquiátrica. Allí es rescatado por el amor de una muchacha incapacitada para resistir la realidad exterior. La historia de esta relación, intentando enseñarse mutuamente a volver al mundo, y de su separación, cuando sólo él llega a rehabilitarse para abandonar esa gran isla que es la clínica, corre paralela a la de otros internados y sus visitantes, hombres y mujeres aislados en la búsqueda de equilibrio, de su identidad"
1059,"La isla de los dibujos",1976,"Un film de carácter experimental que mezclaba actores y dibujos animados."
1068,"Jaime de Nevares, último viaje",1995,"Film biográfico documental sobre el obispo neuquino Jaime de Nevares."
1078,"Johnny Tolengo, el majestuoso",1987,"El el punto más alto de su carrera, Johnny Tolengo, es perseguido tanto por sus admiradoras como por la mafia.
"
1086,"El lado oscuro del corazón",1992,"Oliverio, un poeta "maldito", recorre Buenos Aires con sus amigos bohemios, acosado por La Muerte y buscando a una mujer que pueda "volar"."
1087,"Juan, como si nada hubiera sucedido",1987,"Documental sobre el estudiante Juan Herman, el único desaparecido político de la ciudad de San Carlos de Bariloche durante la dictadura argentina de 1976."
1099,"Juan Moreira",1973,"Luego de ser liberado de la prisión, Juan Moreira es perseguido y muerto."
1101,"Juan que reía",1976,"Juan Libonatti, un vendedor de vinos finos, desea ascender en la empresa en donde trabaja. Su auto, un flamante Citröen, será una herramienta fundamental para vender más vinos en menos tiempo y poder escalar posiciones. Pero un día se lo roban y él no había pagado la cuota del seguro. Ese será el comienzo de una tragedia que lo llevará a la autodestrucción."
1105,"Juego limpio",1992,"Un detective se relaciona con dos damas complicadas en el secuestro de un empresario japonés."
1111,"Juguemos en el mundo",1971,"La llegada al cine de los personajes Doña Disparate y Bambuco. Aunque a simple vista se trate de una película para chicos, los grandes encontrarán innumerable cantidad de guiños políticos."
1144,"Made in Argentina",1987,"Exiliado en Nueva York durante una década, un matrimonio retorna a la Argentina de visita por unos días. En esta ciudad se reencuentra con el Negro y Yoli, hermano y cuñada de la mujer, quienes residen en Lanús. "
1171,"Un lugar en el mundo",1991,"Convertido ya en un hombre, Ernesto regresa a Valle Bermejo. Recuerda su niñez, los que fundaron una cooperativa que agrupaba a los pequeños ganaderos del valle, los tiempos de lucha contra el cacique Andrada, en defensa de la lana de sus ovejas."
1204,"La nave de los locos",1995,"Un conflicto social estalla en una ciudad patagónica cuando el cacique de una tribu mapuche incendia un complejo turístico sobre el que había sido el cementerio de su pueblo. Por este motivo, se lo somete a juicio."
1207,"El manosanta está cargado",1987,"Un hombre común, harto de su mala suerte y de no conseguir trabajo, decide hacerse pasar por un curandero milagroso que llega desde Brasil.

"
1221,"Netri, el mártir de Alcorta",1976,"Francisco Netri, abogado italiano, inmigrante como su hermano, el cura de la ciudad Santafesina de Alcorta, aporta sus conocimientos legales a los chacareros del la pampa gringa que venían luchando por la reivindicación de sus derechos desde el Siglo XIX. Logra crear la Federación Agraria y es asesinado en Rosario en 1912."
1248,"La noche de los lápices",1986,"En septiembre de 1976, durante los primeros meses del gobierno militar en la Argentina, siete adolescentes de la ciudad de La Plata son secuestrados, torturados y asesinados a raíz de sus protestas por el aumento del boleto estudiantil. El film relata estos sucesos desde la voz y presencia de su único sobreviviente."
1255,"La noche eterna",1991,"Cuando la oleada neoliberal amenaza con cerrar la mina de Río Turbio, los mineros y pobladores del lugar dejan oír su voz para mantener vivos sus sueños de dignidad"
1270,"La nona",1979,"Grotesco que se centra en la historia de una familia de clase baja que debe sacrificar todo para poder darle de comer a la insaciable abuela."
1292,"Matar al abuelito",1993,"Un anciano vive en una casa muy grande y para llamar la atención un dia intenta suicidarse. Falla y entra en un estado de depresión muy grande. Una jóven muchacha ingresará a su vida para cuidarlo y hacerse cargo de él."
